Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.2771749023436314,49.084225,1.031973,0.977688,1.089329,0.0,73.47375997121094,66.4762590215718,0.0,0.0,48.274857,187.394684,6.040743017329256,21.1646
-0.27141489257792273,49.103943,1.031886,0.985349,1.074111,0.0,78.42640796497331,70.95722625402347,0.0,0.0,48.177593,187.486816,6.029340163098879,19.939034
-0.2646500000000742,49.073044,1.032444,1.038037,1.096746,0.0,84.24308762670185,76.21993642415882,0.0,0.0,48.222969,187.35585,6.074951681957187,18.760603
-0.25960605468753783,49.075584,1.032653,1.042767,1.086118,0.0,88.58003958495772,80.14384533877127,0.0,0.0,48.217838,187.463287,6.092056778797146,20.221855
-0.2545020507809568,49.133286,1.031676,0.989398,1.056921,0.0,92.96863191987046,84.1144764989304,0.0,0.0,48.275345,187.502502,6.07922752293578,18.902014
-0.2494810546872941,49.090332,1.032165,0.985454,1.081511,0.0,97.28585137647694,88.02053219776485,0.0,0.0,48.129044,187.45491,6.023637920489297,19.137701
-0.2427400878905246,49.066532,1.058011,0.97863,1.074303,0.0,103.08195885563487,93.26462944081248,0.0,0.0,48.175255,187.324326,6.077802752293578,20.551817
-0.23738901367187282,49.070217,1.048744,1.070236,1.111406,0.0,105.0,95.0,0.0,0.0,48.178413,187.477798,6.057848114169215,19.420523
-0.23132504882823923,49.12072,1.055114,1.033186,1.093518,0.0,105.0,95.0,0.0,0.0,48.244263,187.486328,6.045018960244648,18.666328
-0.22548715820312282,49.072781,1.024625,1.051947,1.091546,0.0,105.0,95.0,0.0,0.0,48.180683,187.291351,6.0663998980632,20.551817
-0.22047421875004147,49.06699,1.033002,1.062191,1.116258,0.0,105.0,95.0,0.0,0.0,48.195904,187.439819,6.077802752293578,20.033306
-0.21434726562483775,49.117031,1.017627,1.070027,1.134146,0.0,105.0,95.0,0.0,0.0,48.203339,187.469269,6.1105850152905195,20.457542
-0.20850229492180006,49.08971,1.033107,1.0561,1.088561,0.0,105.0,95.0,0.0,0.0,48.188728,187.477692,6.104884403669724,20.881777
-0.20305234374973224,49.082836,1.032688,1.029084,1.086484,0.0,105.0,95.0,0.0,0.0,48.246113,187.364868,6.074951681957187,20.693228
-0.19679331054658178,49.085358,1.055236,0.993761,1.112471,0.0,105.0,95.0,0.0,0.0,48.271049,187.455124,6.054997043832823,21.023188
-0.19130820312511787,49.110325,1.047767,1.022051,1.108265,0.0,105.0,95.0,0.0,0.0,48.245815,187.490601,6.03076493374108,19.184837
-0.18544541015626237,49.071571,1.040315,1.013395,1.104076,0.0,105.0,95.0,0.0,0.0,48.20887,187.322037,6.023637920489297,21.023188
-0.17948740234351135,49.054031,1.03206,1.006868,1.092523,0.0,105.0,95.0,0.0,0.0,48.230072,187.449844,6.023637920489297,20.080444
